id,movementdate,totalequids,srcid,src_longitude,src_latitude,dstid,dst_longitude,dst_latitude
23065,2022/01/01,4,6520,22.31863069,-33.95673933,6084,18.28208983,-33.43221017
22868,2022/01/06,1,6491,25.37896305,-33.93750387,4841,18.56642259,-34.00537741
22871,2022/01/06,1,8751,25.52555855,-33.97709791,73,18.53626377,-33.74853623
22872,2022/01/06,1,7414,25.54539313,-34.0098909,4982,18.87824887,-33.97405113
22876,2022/01/06,1,6491,25.3734858,-33.92599354,6313,18.51764456,-33.85369544
22879,2022/01/06,1,9266,25.37809509,-33.93522707,6278,18.37750616,-34.01559384
22877,2022/01/07,1,10331,21.14567551,-34.0593454,7793,18.66167231,-33.88426769
22880,2022/01/07,1,6517,21.34294826,-34.29755155,65,18.98783288,-33.50830712
22890,2022/01/07,1,8278,26.11197251,-29.14663052,168,18.97428071,-33.66876929
22869,2022/01/08,5,6521,23.51685756,-33.94133817,6065,18.98954034,-33.82695966
22878,2022/01/08,2,6535,29.95305516,-29.46506228,4956,19.33029576,-33.36720424
22893,2022/01/09,3,10407,23.49460745,-33.94016082,6065,18.98868462,-33.82781538
22914,2022/01/09,9,6489,22.49323591,-33.96919057,7142,19.39100522,-33.63533478
22870,2022/01/10,1,7687,21.14239827,-34.13215316,5314,18.8494313,-33.9414687
22881,2022/01/10,2,10388,30.33108088,-29.87382688,6304,18.97427525,-33.79812475
22889,2022/01/10,1,6492,30.70339352,-29.82922002,65,18.99388862,-33.50225138
22891,2022/01/10,1,6492,30.71782395,-29.8134423,6497,19.70474714,-33.85890286
22892,2022/01/10,1,6492,30.71348182,-29.82668287,6199,18.55732307,-34.01447693
22894,2022/01/10,1,7960,22.6352407,-33.98572064,5485,18.36383052,-34.02256948
22905,2022/01/10,6,6520,22.30183518,-33.96622485,7706,18.89905151,-33.71278849
22923,2022/01/10,2,6520,22.314002,-33.96761882,6477,18.99491554,-33.83850446
22874,2022/01/11,1,8223,28.05182178,-25.92703964,90,18.38167289,-34.00834711
22875,2022/01/11,1,6486,30.74542416,-29.80529757,5997,18.89472395,-34.13987605
22895,2022/01/11,1,6492,30.71530344,-29.82662773,4909,19.12541284,-33.91988716
22906,2022/01/11,1,7860,30.30449407,-29.53073248,29,18.95009726,-33.81804274
22907,2022/01/11,1,6525,28.0547682,-26.22844001,6524,19.27041396,-34.34753604
22908,2022/01/11,1,6662,29.91541087,-29.23096396,6996,19.07717321,-33.61669679
22910,2022/01/11,1,6526,27.90205402,-26.74870631,9663,19.01996695,-33.73925305
22904,2022/01/12,1,6492,30.71346719,-29.81565751,6199,18.56613124,-34.00566876
22917,2022/01/12,1,10420,28.17935825,-25.93684426,7735,18.73407806,-33.80510194
22931,2022/01/12,1,6522,28.16698551,-25.93630596,7706,18.88788155,-33.72395845
22938,2022/01/12,3,10416,28.0687646,-25.94018196,9207,18.94659976,-33.57297024
22911,2022/01/13,1,9371,25.46742795,-34.00946955,5541,18.5034829,-33.8691271
22913,2022/01/13,1,9203,30.70385179,-29.80994596,78,18.55284964,-33.74569036
22912,2022/01/14,1,10401,28.01324354,-32.7971669,4844,18.89387632,-34.11982368
22941,2022/01/14,2,6491,25.3910053,-33.93276828,5935,18.508964,-33.862606
22942,2022/01/14,2,6491,25.38589584,-33.93346952,6313,18.51292932,-33.85841068
22945,2022/01/14,1,10417,22.29122868,-33.72108545,9959,18.80170373,-34.03319627
22939,2022/01/15,1,6491,25.38995317,-33.92732618,173,19.04353742,-33.73232258
22940,2022/01/15,1,10430,26.80878496,-33.51037041,10431,19.46960516,-34.50420484
22946,2022/01/15,4,6521,23.50983221,-33.93132807,4980,18.56404357,-33.73575643
22947,2022/01/15,1,10437,23.46527224,-33.97630731,6254,18.34458653,-34.03621347
22960,2022/01/15,4,6491,25.38208481,-33.93542035,6199,18.56023787,-34.01156213
22978,2022/01/16,1,10212,23.46827124,-33.93157709,6304,18.969068,-33.803332
22948,2022/01/17,1,6522,28.16345731,-25.93294912,4841,18.56272017,-34.00907983
22949,2022/01/17,1,6525,28.04725011,-26.24646485,6313,18.51637925,-33.85496075
22952,2022/01/17,1,7945,28.52289661,-26.26988216,7819,18.43341121,-34.00595879
22953,2022/01/17,1,7945,28.52269263,-26.26588475,6264,18.93508043,-33.92351957
22955,2022/01/17,1,8325,24.60664563,-28.79748261,9915,18.36074866,-34.01886134
22956,2022/01/20,1,6522,28.17001056,-25.9191926,4971,18.51767443,-33.85329557
22976,2022/01/22,1,10294,22.3003452,-33.99200638,5659,18.49621738,-32.97540262
22982,2022/01/22,1,7494,22.41235499,-34.02931861,8445,20.05746429,-34.00990571
23072,2022/01/23,1,7131,22.30822973,-33.93538922,5411,18.7531205,-33.9729795
22979,2022/01/24,1,6522,28.16841771,-25.92796156,6469,18.81371373,-33.65653627
23006,2022/01/24,1,9244,27.65612481,-26.17153786,86,18.56472591,-33.74207409
22873,2022/01/25,1,7018,28.07923733,-25.95539885,9650,18.79971452,-33.90158548
22980,2022/01/25,1,6522,28.1597874,-25.91945952,7706,18.90055335,-33.71128665
23003,2022/01/25,8,7151,27.38534527,-26.92578772,6514,19.26333714,-34.36301286
23007,2022/01/25,1,8943,28.05930766,-25.94361138,9145,20.00237094,-33.99991906
23008,2022/01/25,1,6526,27.89803673,-26.74266014,6494,20.20535812,-34.00476188
23009,2022/01/25,1,6526,27.90406127,-26.7491535,14,19.01229311,-33.87285689
23020,2022/01/25,1,6522,28.16175186,-25.92286641,6493,19.76813136,-33.82865864
23021,2022/01/25,1,6525,28.04238635,-26.23150336,7000,19.20249536,-33.43018464
23022,2022/01/26,4,6525,28.04826785,-26.24653592,5935,18.51910995,-33.85246005
23023,2022/01/26,1,6522,28.17238755,-25.92231997,4971,18.50926227,-33.86170773
23010,2022/01/27,2,6491,25.38208263,-33.9417119,4841,18.55816589,-34.01363411
23024,2022/01/27,1,7962,22.64920821,-33.99914245,9723,18.94842739,-33.82134261
23013,2022/01/28,6,6491,25.37704864,-33.92529065,6469,18.81458401,-33.65566599
23032,2022/01/28,1,8101,25.3576747,-33.97283087,4980,18.55699932,-33.74280068
23034,2022/01/28,2,6491,25.37404094,-33.93519553,5935,18.50872596,-33.86284404
23043,2022/01/28,3,7168,23.29923435,-34.061112,5942,18.80036428,-33.77983572
23045,2022/01/28,4,6491,25.39053625,-33.92791692,6084,18.28642263,-33.42787737
23049,2022/01/28,1,7540,24.76521071,-34.13755032,4911,18.51211397,-33.86022603
23056,2022/01/28,1,7540,24.76979791,-34.13861942,4911,18.51377224,-33.85856776
23025,2022/01/29,1,9219,27.8710516,-26.02323036,10451,18.35498943,-34.01966057
23037,2022/01/29,4,6491,25.39000885,-33.9350973,6199,18.56551973,-34.00628027
23040,2022/01/29,2,6647,28.11715955,-26.5421559,7701,18.88809733,-33.93906267
23051,2022/01/29,1,10461,23.50317305,-33.94435689,6304,18.9608028,-33.8115972
23062,2022/01/29,2,6496,20.30795164,-33.46926318,10337,19.53935204,-33.63353796
23063,2022/01/29,1,6496,20.31003094,-33.45643433,5936,18.35460938,-34.10779062
23039,2022/01/30,5,9509,25.58852554,-32.72387081,20,19.02138491,-33.73461509
23046,2022/01/30,2,9509,25.59768138,-32.7388485,8083,19.99405256,-34.31374744
23047,2022/01/30,2,9509,25.58391698,-32.72960758,144,19.00891928,-33.61962072
23048,2022/01/30,4,9509,25.59607802,-32.73861032,5314,18.8472389,-33.9436611
23054,2022/01/30,2,9509,25.58616715,-32.72108531,6073,17.94115961,-32.95276039
23055,2022/01/30,2,9509,25.58350074,-32.72359295,6073,17.93944877,-32.95447123
23053,2022/01/31,7,6517,21.34540326,-34.31065646,9956,18.58183824,-33.85492176
23064,2022/01/31,3,6501,25.51590291,-33.98218056,9956,18.57452477,-33.86223523
23085,2022/01/31,1,6491,25.38229152,-33.92638519,6915,20.25731496,-33.98798504
23086,2022/02/03,1,7312,21.29640666,-34.02603556,7949,20.41865894,-34.03791106
23089,2022/02/03,1,6526,27.8973622,-26.73172335,7706,18.89440126,-33.71743874
23117,2022/02/03,1,6492,30.70844995,-29.8138096,10448,18.53649972,-33.74823028
23118,2022/02/03,1,8325,24.61129028,-28.78963949,6264,18.94619257,-33.91240743
23066,2022/02/04,1,10455,26.49867162,-33.31464933,5485,18.36635144,-34.02004856
23088,2022/02/05,3,6491,25.38854606,-33.94174785,6199,18.56767557,-34.00412443
23132,2022/02/05,2,6496,20.3137035,-33.46758743,6468,19.04948796,-33.64840204
23105,2022/02/06,1,6491,25.37832196,-33.94381478,169,18.81186254,-33.80085746
23106,2022/02/06,1,6491,25.37479695,-33.93769364,9256,18.7231606,-33.9325994
23122,2022/02/08,1,8243,28.36849254,-26.08012803,7735,18.72532094,-33.81385906
23134,2022/02/08,1,8157,29.91396576,-29.32754816,6514,19.26098416,-34.36536584
