"svcode","asdclass","col","dd"
102,"unknown risk","e_white","2022-01-01"
103,"unknown risk","e_white","2022-01-01"
107,"unknown","d_white","2022-01-01"
109,"unknown risk","e_white","2022-01-01"
112,"high risk","a_red","2022-01-01"
202,"low risk","b_green","2022-01-01"
203,"low risk","b_green","2022-01-01"
301,"high risk","a_red","2022-01-01"
302,"unknown risk","e_white","2022-01-01"
303,"high risk","a_red","2022-01-01"
304,"high risk","a_red","2022-01-01"
305,"high risk","a_red","2022-01-01"
307,"high risk","a_red","2022-01-01"
308,"high risk","a_red","2022-01-01"
309,"unknown risk","e_white","2022-01-01"
310,"high risk","a_red","2022-01-01"
311,"unknown risk","e_white","2022-01-01"
312,"unknown risk","e_white","2022-01-01"
313,"high risk","a_red","2022-01-01"
314,"unknown risk","e_white","2022-01-01"
316,"unknown risk","e_white","2022-01-01"
318,"unknown risk","e_white","2022-01-01"
319,"high risk","a_red","2022-01-01"
320,"high risk","a_red","2022-01-01"
321,"high risk","a_red","2022-01-01"
322,"high risk","a_red","2022-01-01"
323,"high risk","a_red","2022-01-01"
324,"high risk","a_red","2022-01-01"
325,"unknown risk","e_white","2022-01-01"
326,"high risk","a_red","2022-01-01"
327,"unknown risk","e_white","2022-01-01"
328,"high risk","a_red","2022-01-01"
402,"partial risk","c_purple","2022-01-01"
404,"unknown risk","e_white","2022-01-01"
405,"low risk","b_green","2022-01-01"
409,"high risk","a_red","2022-01-01"
411,"high risk","a_red","2022-01-01"
412,"low risk","b_green","2022-01-01"
413,"unknown","d_white","2022-01-01"
414,"unknown","d_white","2022-01-01"
415,"low risk","b_green","2022-01-01"
416,"low risk","b_green","2022-01-01"
418,"unknown","d_white","2022-01-01"
501,"unknown","d_white","2022-01-01"
503,"partial risk","c_purple","2022-01-01"
504,"partial risk","c_purple","2022-01-01"
505,"partial risk","c_purple","2022-01-01"
506,"low risk","b_green","2022-01-01"
508,"unknown","d_white","2022-01-01"
509,"low risk","b_green","2022-01-01"
510,"unknown","d_white","2022-01-01"
511,"unknown","d_white","2022-01-01"
512,"low risk","b_green","2022-01-01"
513,"partial risk","c_purple","2022-01-01"
514,"low risk","b_green","2022-01-01"
515,"low risk","b_green","2022-01-01"
601,"low risk","b_green","2022-01-01"
603,"low risk","b_green","2022-01-01"
604,"unknown","d_white","2022-01-01"
605,"low risk","b_green","2022-01-01"
612,"low risk","b_green","2022-01-01"
614,"low risk","b_green","2022-01-01"
617,"unknown","d_white","2022-01-01"
701,"unknown","d_white","2022-01-01"
710,"unknown","d_white","2022-01-01"
711,"partial risk","c_purple","2022-01-01"
713,"unknown","d_white","2022-01-01"
715,"low risk","b_green","2022-01-01"
716,"unknown","d_white","2022-01-01"
717,"unknown","d_white","2022-01-01"
718,"low risk","b_green","2022-01-01"
722,"unknown","d_white","2022-01-01"
726,"unknown","d_white","2022-01-01"
801,"low risk","b_green","2022-01-01"
802,"low risk","b_green","2022-01-01"
803,"low risk","b_green","2022-01-01"
804,"low risk","b_green","2022-01-01"
805,"low risk","b_green","2022-01-01"
806,"low risk","b_green","2022-01-01"
807,"low risk","b_green","2022-01-01"
808,"low risk","b_green","2022-01-01"
901,"low risk","b_green","2022-01-01"
902,"low risk","b_green","2022-01-01"
903,"partial risk","c_purple","2022-01-01"
904,"low risk","b_green","2022-01-01"
905,"unknown","d_white","2022-01-01"
906,"partial risk","c_purple","2022-01-01"
907,"unknown","d_white","2022-01-01"
102,"unknown risk","e_white","2022-01-02"
103,"unknown risk","e_white","2022-01-02"
107,"unknown","d_white","2022-01-02"
109,"unknown risk","e_white","2022-01-02"
112,"high risk","a_red","2022-01-02"
202,"low risk","b_green","2022-01-02"
203,"low risk","b_green","2022-01-02"
301,"high risk","a_red","2022-01-02"
302,"unknown risk","e_white","2022-01-02"
303,"high risk","a_red","2022-01-02"
304,"high risk","a_red","2022-01-02"
305,"high risk","a_red","2022-01-02"
307,"high risk","a_red","2022-01-02"
308,"high risk","a_red","2022-01-02"
309,"unknown risk","e_white","2022-01-02"
310,"high risk","a_red","2022-01-02"
311,"unknown risk","e_white","2022-01-02"
312,"unknown risk","e_white","2022-01-02"
313,"high risk","a_red","2022-01-02"
314,"unknown risk","e_white","2022-01-02"
316,"unknown risk","e_white","2022-01-02"
318,"unknown risk","e_white","2022-01-02"
319,"high risk","a_red","2022-01-02"
320,"high risk","a_red","2022-01-02"
321,"high risk","a_red","2022-01-02"
322,"high risk","a_red","2022-01-02"
323,"high risk","a_red","2022-01-02"
324,"high risk","a_red","2022-01-02"
325,"unknown risk","e_white","2022-01-02"
326,"high risk","a_red","2022-01-02"
327,"unknown risk","e_white","2022-01-02"
328,"high risk","a_red","2022-01-02"
402,"partial risk","c_purple","2022-01-02"
404,"unknown risk","e_white","2022-01-02"
405,"low risk","b_green","2022-01-02"
409,"high risk","a_red","2022-01-02"
411,"high risk","a_red","2022-01-02"
412,"low risk","b_green","2022-01-02"
413,"unknown","d_white","2022-01-02"
414,"unknown","d_white","2022-01-02"
415,"low risk","b_green","2022-01-02"
416,"low risk","b_green","2022-01-02"
418,"unknown","d_white","2022-01-02"
501,"unknown","d_white","2022-01-02"
503,"partial risk","c_purple","2022-01-02"
504,"partial risk","c_purple","2022-01-02"
505,"partial risk","c_purple","2022-01-02"
506,"low risk","b_green","2022-01-02"
508,"unknown","d_white","2022-01-02"
509,"low risk","b_green","2022-01-02"
510,"unknown","d_white","2022-01-02"
511,"unknown","d_white","2022-01-02"
512,"low risk","b_green","2022-01-02"
513,"partial risk","c_purple","2022-01-02"
514,"low risk","b_green","2022-01-02"
515,"low risk","b_green","2022-01-02"
601,"low risk","b_green","2022-01-02"
603,"low risk","b_green","2022-01-02"
604,"unknown","d_white","2022-01-02"
605,"low risk","b_green","2022-01-02"
612,"low risk","b_green","2022-01-02"
614,"low risk","b_green","2022-01-02"
617,"unknown","d_white","2022-01-02"
701,"unknown","d_white","2022-01-02"
710,"unknown","d_white","2022-01-02"
711,"partial risk","c_purple","2022-01-02"
713,"unknown","d_white","2022-01-02"
715,"low risk","b_green","2022-01-02"
716,"unknown","d_white","2022-01-02"
717,"unknown","d_white","2022-01-02"
718,"low risk","b_green","2022-01-02"
722,"unknown","d_white","2022-01-02"
726,"unknown","d_white","2022-01-02"
